alpha_name,is_ic_mean,is_ic_std,is_ic_ir,is_ic_positive_rate,oos_ic_mean,oos_ic_std,oos_ic_ir,oos_ic_positive_rate,is_total_return,is_annualized_return,is_annualized_volatility,is_sharpe,is_sortino,is_calmar,is_max_drawdown,is_win_rate,is_observations,oos_total_return,oos_annualized_return,oos_annualized_volatility,oos_sharpe,oos_sortino,oos_calmar,oos_max_drawdown,oos_win_rate,oos_observations,is_oos_ic_same_sign,consistency_score,robustness_score
alpha_energy_residual_load_shock,-0.13144571534630073,0.28315363571145696,-0.4642204752767092,0.32605775688381466,-0.16310031508961323,0.2957630044921071,-0.5514561071277115,0.294072363356428,-1.0,-2.852278558801552,0.42373137701297964,-6.7313366758633535,-8.770675588643654,-2.852278558801552,-1.0,0.32791282481139983,5965.0,-1.0,-3.7511125321909087,0.46498392495388025,-8.067187553984722,-10.570201006391658,-3.7511125321909087,-1.0,0.3031117940837495,2603.0,True,1.0,0.8
alpha_energy_wind_forecast_error,-0.09400715895291593,0.31275763594569456,-0.3005751040055783,0.38233310856372216,-0.1058047502765786,0.313448600150522,-0.3375505592488523,0.3494996150885296,-1.0,-2.1367385958980236,0.4184945705531478,-5.105773757288597,-6.902864594396599,-2.1367385958980236,-1.0,0.38074398249452956,5941.0,-0.9999999999697206,-2.237007713934538,0.43786695359351485,-5.1088754142684625,-7.338959737277156,-2.2370077139431555,-0.9999999999961476,0.3668843641951594,2603.0,True,1.0,0.8000000000007705
alpha_energy_imbalance_premium,-0.10433768977425788,0.2877382731908873,-0.3626131783485043,0.359881031064111,-0.13290068311894906,0.30640120792295994,-0.43374725582793716,0.3437259430331024,-1.0,-2.2845268536861116,0.42785317360969083,-5.339511296392,-7.156374784915916,-2.2845268536861116,-1.0,0.3702359346642468,6061.0,-0.9999999999999934,-3.032182113808346,0.4645651630544372,-6.526925294768688,-8.796215142467258,-3.0321821138083607,-0.9999999999999952,0.339608144448713,2603.0,True,1.0,0.800000000000001
alpha_energy_cross_market_spread,-0.2671060580422982,0.3559343383858914,-0.7504363283789475,0.23388179986568167,-0.27805521077086276,0.3673710058882066,-0.7568784860922769,0.23941493456505003,-1.0,-5.568011624556738,0.5199864271843682,-10.707994158052369,-14.039418378739084,-5.568011624556738,-1.0,0.23839061190276614,5965.0,-1.0,-6.313104498844413,0.5662408558309,-11.14915046103585,-14.883537014292118,-6.313104498844413,-1.0,0.23472915866308106,2603.0,True,1.0,0.8
alpha_energy_demand_surprise,0.0014930180463464471,0.2689951498927177,0.005550353034030174,0.5003307972213034,0.004134148667219607,0.2854622172887944,0.01448229718974403,0.5057736720554272,-0.8972978727544489,-0.025948331886014597,0.37077428025968673,-0.0699841743818925,-0.10825817324430557,-0.026366056070757104,-0.9841567436699109,0.47910817506193226,6055.0,-0.4360908891554198,0.03227460202408504,0.41846538519935794,0.07712609732035385,0.11687304192461737,0.03602012182107552,-0.8960159042327568,0.49481367652708413,2603.0,True,1.0,0.4787260079124248
alpha_energy_solar_penetration,-0.03197725756331882,0.2982493169279024,-0.10721653243902943,0.4556749496306246,-0.014499166951512241,0.336366688939155,-0.04310524028773545,0.485373364126251,-0.9999999707181823,-0.6480560472525221,0.4083139427255266,-1.5871514034683671,-2.3752255541803224,-0.6480560654984503,-0.9999999718451393,0.44610226320201174,5965.0,-0.9773311701299355,-0.24576979891776912,0.48994416135843616,-0.5016281819469779,-0.7567059665681826,-0.24693262388892626,-0.9952909220626911,0.49596619285439875,2603.0,True,0.7813684856845794,0.5733627767384036
alpha_energy_price_momentum_6h,-0.1299538789344927,0.3643283371443717,-0.3566944036060421,0.36374039561876736,-0.1100234293310143,0.3981179498492457,-0.27635887649043855,0.38953040800615857,-1.0,-2.7933381059022295,0.5156149299470589,-5.4174887957356805,-7.525403987182428,-2.7933381059022295,-1.0,0.36075742735879857,6126.0,-0.999999999999872,-2.675485467117727,0.5990829782950109,-4.465968094657194,-6.579672890229082,-2.6754854671180404,-0.9999999999998829,0.3933922397233961,2603.0,True,0.9386537754258957,0.8000000000000235
alpha_island_mean,-0.1773262549908217,0.30936282826973555,-0.5731983250302125,0.2820009808729769,-0.18683537188583949,0.328765892086368,-0.568293051022328,0.2890685142417244,-1.0,-3.7289994672277675,0.44935795464626416,-8.298505520311188,-10.732934423577877,-3.7289994672277675,-1.0,0.2868103166829905,6126.0,-1.0,-4.192030250635511,0.5075107593467227,-8.259983012048002,-11.214861449601685,-4.192030250635511,-1.0,0.2969650403380715,2603.0,True,1.0,0.8
alpha_uniform_composite,-0.1409039240678373,0.3452617296634237,-0.4081075658318593,0.3405264018309629,-0.16115434887643382,0.37437766731116484,-0.43045930072129546,0.3348729792147806,-1.0,-3.047054487285813,0.5036750314507774,-6.049643712750911,-8.202114206874555,-3.047054487285813,-1.0,0.3346392425726412,6126.0,-1.0,-3.7712964827413975,0.5651873843451929,-6.672648022939675,-9.288136731252647,-3.7712964827413975,-1.0,0.339608144448713,2603.0,True,1.0,0.8
alpha_gat_composite,0.19791507683826587,0.34907177178146687,0.5669753123497158,0.7103200522534291,0.20198834904101748,0.37649680036377914,0.536494198213244,0.7036181678214011,5.78615917693719e+42,4.211101666304989,0.519509936429758,8.105911689091176,14.648408675285202,5.01423915069427,-0.8398286439373202,0.6960704386107941,6133.0,3.578499112804448e+20,4.789090711856882,0.5808227800749342,8.24535620183324,16.48142517231345,6.644689564834518,-0.7207395718231948,0.6876680752977334,2603.0,True,1.0,0.8558520856353611
