alpha_name,is_ic_mean,is_ic_std,is_ic_ir,is_ic_positive_rate,oos_ic_mean,oos_ic_std,oos_ic_ir,oos_ic_positive_rate,is_total_return,is_annualized_return,is_annualized_volatility,is_sharpe,is_sortino,is_calmar,is_max_drawdown,is_win_rate,is_observations,oos_total_return,oos_annualized_return,oos_annualized_volatility,oos_sharpe,oos_sortino,oos_calmar,oos_max_drawdown,oos_win_rate,oos_observations,is_oos_ic_same_sign,consistency_score,robustness_score
alpha_energy_residual_load_shock,0.005885672190980868,0.22892033512340546,0.02571056952108708,0.5212882096069869,0.006850757430609965,0.2241045150851686,0.030569475264728183,0.5078031212484994,-0.6697695068842147,-0.11906265040614257,0.2578403336198294,-0.4617689123133603,-0.7389083611432548,-0.14249238719315876,-0.8355720102067243,0.4923580786026201,1832.0,-0.5092381315873683,-0.18211234447281846,0.25725226383576677,-0.7079134766684945,-1.1552797588527008,-0.32564310414918074,-0.5592390631106094,0.48139255702280914,833.0,True,1.0,0.6104300884367908
alpha_energy_wind_forecast_error,0.000782335424078263,0.22985092506176993,0.003403664457160739,0.49557522123893805,0.0005630915711639817,0.23638341216000244,0.0023821111896922703,0.5114045618247299,-0.8435867344121635,-0.22431662179379275,0.2610303171137851,-0.8593508381480892,-1.3580420975314904,-0.24358426361704158,-0.9208994803804689,0.4944690265486726,1808.0,-0.3903228179681333,-0.11476314662552718,0.2639966514320457,-0.43471440263729216,-0.7136939400800151,-0.2120323651351733,-0.5412529665099205,0.49819927971188477,833.0,True,0.8879028886247398,0.501277851456785
alpha_energy_imbalance_premium,0.005634965917436773,0.22600306857946112,0.024933138973976178,0.5202282157676349,-0.002455470487194435,0.23164974632650887,-0.01059992737368883,0.49339735894357745,-0.7149788765501768,-0.1309338371973608,0.25698281461902545,-0.5095042537823743,-0.8218408392855996,-0.16598271558153338,-0.7888401918152976,0.4953319502074689,1928.0,-0.5964557826988997,-0.24269185811826333,0.25157875713625477,-0.9646754792846906,-1.6095352242082788,-0.3417107612784973,-0.7102259735989622,0.48139255702280914,833.0,False,0.17430241979609892,0.5003545147749628
alpha_energy_cross_market_spread,0.004998268755036254,0.2281977218146821,0.021903236874096912,0.5070960698689956,0.0029272344634692555,0.222329394136451,0.013166205372163762,0.48619447779111646,-0.701876003849008,-0.13269357208931418,0.25951136160000754,-0.5113208580587646,-0.8083334256070848,-0.1672943801153988,-0.7931741161764241,0.48417030567685587,1832.0,-0.3767469252146758,-0.1080681477161033,0.26415831579227145,-0.40910371264286005,-0.6621109501010721,-0.2065228487744832,-0.5232745352748378,0.48619447779111646,833.0,True,0.8342598693213346,0.5480099144336875
alpha_energy_demand_surprise,-0.0102929027689538,0.22543585355671983,-0.04565778959540745,0.47406639004149376,-0.0036156590383503943,0.22852851984332048,-0.015821478390659057,0.4909963985594238,-0.9374779252406864,-0.3294970090374287,0.25505116310800796,-1.2918859299531784,-2.048604729653786,-0.34842012584446724,-0.9456887952118881,0.4642116182572614,1928.0,-0.5753595584015581,-0.22714175389804345,0.25205433189727267,-0.9011618732687261,-1.4251024101437304,-0.3662456732709262,-0.6201895898713261,0.4837935174069628,833.0,True,0.7405107623966373,0.5392479955883711
alpha_energy_solar_penetration,0.003824725588883573,0.2296701823968742,0.016653122094336035,0.506004366812227,0.0005777425831045852,0.2232016385864568,0.0025884334307017085,0.5114045618247299,-0.7099512168072057,-0.13653993836382164,0.2591924523839353,-0.5267897930977112,-0.8374768067713503,-0.17695882471585372,-0.7715915755151884,0.4896288209606987,1832.0,-0.5246839814917683,-0.19253616439760074,0.25420805258991425,-0.7573960086472873,-1.2476155540559326,-0.3573201699183317,-0.5388337424153984,0.47418967587034816,833.0,True,0.660421859783486,0.5025869852397272
alpha_energy_price_momentum_6h,-0.005225471155679411,0.22745993433255343,-0.022973149847302827,0.4907175112895133,0.004400021055049474,0.22690986825832452,0.019391052001494664,0.48739495798319327,-0.957580378261969,-0.3652752828572149,0.260417113397075,-1.402654679995073,-2.218801906905976,-0.38171953474298476,-0.9569205911957271,0.4701455092824887,1993.0,-0.6289465404416019,-0.2651732168163181,0.2626547299307548,-1.0095885837891718,-1.5838964136078006,-0.3730278679536393,-0.7108670413044701,0.48739495798319327,833.0,False,0.3368133455500732,0.5353907997450846
alpha_energy_gas_spark_spread,0.00497653496478073,0.23123737074358727,0.021521326543273454,0.5092794759825328,-0.003586264155493284,0.2263102629012833,-0.01584667044930974,0.4801920768307323,-0.6442248606622004,-0.10554511390451574,0.2702479325705201,-0.3905492001385586,-0.6257616311868913,-0.14970903506023797,-0.7050016310775623,0.5010917030567685,1832.0,-0.5751377102612814,-0.2234265305166235,0.26604616406987613,-0.8398036156534896,-1.4005614591568327,-0.3443059292165015,-0.6489186260168399,0.4669867947178872,833.0,False,0.28825391006983897,0.533602956593871
alpha_island_mean,-0.0006478926462661458,0.22868362164046496,-0.002833139695875373,0.5067737079779228,0.0016177878891715204,0.22260029642919768,0.007267680749410363,0.4957983193277311,-0.8870126169545256,-0.24154425811167157,0.2606103122941404,-0.926840753097484,-1.465189952912211,-0.2715900420389924,-0.8893708189676295,0.48519819367787254,1993.0,-0.41300782468689134,-0.12813564588509954,0.2567150774900439,-0.4991356453929707,-0.816415761981154,-0.24686875294768737,-0.5190435984915923,0.49339735894357745,833.0,False,0.4,0.525262003299323
alpha_uniform_composite,0.008348876084108918,0.2344355584090174,0.035612669599987545,0.5097842448569995,0.004108887508149009,0.23635779093003,0.017384184764890533,0.5150060024009604,-0.6176040488202237,-0.08638441500020251,0.2648779518470721,-0.3261291262553886,-0.5211189056263593,-0.11825993418148847,-0.7304622279565287,0.48770697441043653,1993.0,-0.43352835273048307,-0.1374184793301023,0.2625115201720688,-0.5234759954154713,-0.8812729771550976,-0.2555720032841589,-0.5376898782505254,0.4969987995198079,833.0,True,0.7968594319405354,0.5619987634094571
alpha_gat_composite,0.0007447177226405792,0.23062540315582483,0.0032291226918198675,0.4975,-0.011339286087379344,0.22669944329911876,-0.05001902925900755,0.4921968787515006,-0.8683810275638142,-0.2214346300580916,0.26045145731639885,-0.8501953966381182,-1.4014062175043238,-0.24600741783650892,-0.9001136307412168,0.4745,2000.0,-0.6569525871996116,-0.28940805195900005,0.2604741131043424,-1.1110818211830022,-1.7003019818810827,-0.3868162960104565,-0.7481795750176377,0.4885954381752701,833.0,False,0.4,0.6504402020325027
